handValue,round1,round2,round3,round4
2,0.4166666666666667,,,
3,0.31354515050167225,,,
4,0.33342715076461205,,,
5,0.35555662853008624,,,
6,0.3357529308940412,0.30959752321981426,,
7,0.3127347117435561,0.3315426709768931,0.3103448275862069,
8,0.38779745154319856,0.40745928890199706,0.3087526260504202,0.0
9,0.5422627724390127,0.45815492947172076,0.4320327095327417,0.4333333333333333
10,0.5778034847805256,0.5276487712252029,0.49869604183853944,0.1486111111111111
11,0.5586121604953228,0.5981569108451201,0.6094282841057164,0.3484848484848485
12,0.3650782077302313,0.35001756666112255,0.3673971292905306,0.34203537421420555
13,0.406279622060279,0.3248893448031617,0.3256504044136581,0.34941551221814154
14,0.38011854916542287,0.30150503004903645,0.3003103895703183,0.322235461378945
15,0.38720277627169447,0.2856693434925934,0.28195994099848654,0.2938880031982824
16,0.44507980831097,0.2675610054690402,0.25704689803943453,0.2773708775068872
17,0.5093198461619514,0.30741977578520474,0.2738229588718417,0.2614465016131019
18,0.5318440554692848,0.47124716722911114,0.4560158539521439,0.43713780099320254
19,0.6365465519946651,0.6313011812678688,0.6049651877537194,0.5990095930630442
20,0.8411413029214273,0.84449935586217,0.8436804041906121,0.8480308591254093
21,1.0,1.0,1.0,1.0
